#,Sitename,ID,Country,Location,StartDate,lat,lng,alt (m),Rigidity (GV),DetectorCount,DetectorType,EndDate,,
1,Almaaty,AATB,Kazakhstan,Alma-Ata,8/1/1973,43.14,76.6,3340,6.69,18,SNM-15 NM64,,,http://www.nmdb.eu/status/status.php
2,AHMD,AHMD,,,,,,,,,,,,http://www.nmdb.eu/station_information/
3,Apatity,APTY,Russia,Apatity,5/1/1965,67.57,33.4,181,0.65,18,NM64,,,
4,Aragats,ARNM,Armenia,Aragats,4/1/2000,40.47,44.18,3200,7.10,18,CHM-15,,,
5,Athens,ATHN,Greece,Athens,11/10/2000,37.97,23.78,260,8.53,6,BP28 Chalk River (BF3),,,
6,Baksan,BKSN,Russia,Baksan,1/1/2003,43.28,42.69,1700,5.60,6,NM64,,,
7,BURE,BURE,France,Astep plateau,1/1/2011,44.634,5.9072,2555,5.00,3,NM64,1/1/2015,,
8,CALG,CALG,,,,,,,,,,,,
9,CALM,CALM,Spain,Madrid,9/1/2011,40.642578,-3.163318,708,6.95,15,NM64,,,
10,CLMX,CLMX,US,"Climax, Colorado",1/1/1950,39.37,106.18,3400,2.99,12,IGY,,,
11,DOMC,DOMC,,,,,,,,,,,,
12,DRBS,DRBS,Belgium,Dourbes,1/1/1965,50.1,4.6,225,3.18,9,"LND, inc. model 2061, BF3",,,
13,DRHM,DRHM,,,,,,,,,,,,
14,Mt Hermon,ESOI,Israel,Emilio Segre Obs.,1/1/1998,33.3,35.8,2055,10.75,6,NM64,,,
15,FSMT,FSMT,Canada,Fort Smith,10/4/2000,60.0200,-111.9300,180,0.30,18,NM-64,,,
16,HLE1,HLE1,,,,,,,,,,,,
17,HRMS,HRMS,South Africa,Hermanus,7/1/1957,-34.425,19.225,26,4.44,12,1NM64 Chalk River ,,,
18,HUAN,HUAN,Peru,Huancayo,1/1/1951,-12.03,75.33,3400,12.92,12,IGY,1/1/1992,,
19,INVK,INVK,Canada,Inuvik,7/12/1964,68.3600,-133.7200,21,0.30,18,NM64,,,
20,Irkutsk 2,IRK2,Russia,Irkutsk,1/1/2010,52.47,104.03,2000,3.64,12,NM64,,,
21,Irkutsk 3,IRK3,Russia,Irkutsk,,52.47,104.03,3000,3.64,,,,,
22,Irkutsk,IRKT,Russia,Irkutsk,3/1/1968,52.47,104.03,475,3.64,18,NM,,,
23,"Jungfraujoch, NM64",JUNG1,Switzerland,Jungfraujoch,1/1/1986,46.5475,7.9851,3475,4.49,3,BP28,,,
24,"Jungfraujoch, IGY",JUNG,Switzerland,Jungfraujoch,7/10/1997,46.5475,7.9851,3570,4.49,18,IGY,,,
25,Kerguelen,KERG,France,Kerguelen,1/1/1957,-49.35,70.25,33,1.14,18,Chalk River BF3,,,
26,KGSN,KGSN,Australia,Kingston,4/1/2000,-42.99,147.29,65,1.88,18,NM64,,,
27,KIEL2,KIEL2,Germany,Kiel,11/1/2011,54.34,10.12,54,2.36,18,NM64,,,
28,Kiel,KIEL,Germany,Kiel,1/1/2012,54.34,10.12,54,2.36,18,NM64,,,
29,LDVL,LDVL,,,,,,,,,,,,
30,Lomnicky stit,LMKS,Slovakia,Lomnicky Stit,1/1/1981,49.2,20.22,2634,3.84,8,NM64,,,
31,MCMU,MCMU,US,Antarctica,5/11/1960,-77.9000,166.6000,48,0.30,18,Chalk River BP28,,,
32,Mobile Cr lab.,MCRL,Russia,Mobile CR Lab,1/1/2010,55.47,37.32,200,2.43,6,NM64,,,
33,Magadan,MGDN,Russia,Magadan,1/1/1971,60.04,151.05,220,2.10,18,NM64,,,
34,Moscow,MOSC,Russia,Moscow,1/1/1995,55.47,37.32,200,2.43,24,NM64,,,
35,Mirny,MRNY,Antarctica,Mirny,1/1/2010,-66.55,93.02,30,0.03,12,NM64,,,
36,MTWS,MTWS,,,,,,,,,,,,
37,MWSN,MWSN,,,,,,,,,,,,
38,MXCO,MXCO,Mexico,Mexico City,1/1/1990,19.33,-99.2,2274,8.20,6,Chalk River BP28,,,
39,NAIN,NAIN,Canada,Nain,11/10/2000,56.5500,-61.6800,46,0.30,18,3-He counters (LND 25373),,,
40,Nor-Amberd,NANM,Armenia,Nor-Amberd,4/1/1996,40.37,44.25,2000,7.10,18,CHM-15,,,
41,NEU3,NEU3,Germany,Neumayer,2/1/2014,-70.6744,8.27417,40,0.10,1,BF3,,,
42,NEWK,NEWK,US,"Newark, Delaware",1/1/2000,39.6800,-75.7500,50,2.40,9,"6 Chalk River BP28, 3 3-He (LND 25373)",,,
43,Norilsk,NRLK,Russia,Norilsk,1/1/2000,69.26,88.05,0,0.63,18,NM64,,,
44,Novosibirsk,NVBK,Russia,Novosibirsk,1/1/1971,54.48,83,163,2.91,24,NM64,,,
45,NYAA,NYAA,,,,,,,,,,,,
46,Oulu,OULU,Finland,Oulu,4/1/1964,65.05,25.47,15,0.80,9,Chalk River BP28,,,
47,POL1,POL1,,,,,,,,,,,,
48,POTC,POTC,,,,,,,,,,,,
49,PSNM,PSNM,Thailand,Princess Sirindhorn,12/9/2007,15.59,98.49,2565,16.80,18,Chalk River BP28,,,
50,PTFM,PTFM,,,,,,,,,,,,
51,PWNK,PWNK,Canada,Peawanuck,1/1/2010,54.9800,-85.4400,53,0.30,8,3-He counters (LND 25373),,,
52,Rome,ROME,Italy,Rome,1/1/1957,41.86,12.47,0,6.27,20,NM64,,,
53,SANA,SANA,,,,,,,,,,,,
54,SANB,SANB,,,,,,,,,,,,
55,SNAE,SNAE,,,,,,,,,,,,
56,SOPB,SOPB,US,South Pole,12/15/1986,-90.0000,0.0000,2823,0.10,12,3-He counter (LND 25373),,,
57,SOPO,SOPO,US,South Pole,3/1/1964,-90.0000,0.0000,2820,0.10,3,3-He counter (LND 25373),,,
58,Terre Adelie,TERA,France,Terre Adelie,1/1/1967,-66.65,140,32,0.01,9,Chalk River BF3,,,
59,THUL,THUL,Greenland,Thule,1/1/2001,76.5000,-68.7000,26,0.30,18,"9 Chalk River BP28, 9 3-He (LND 25373)",,,
60,TIBT,TIBT,,,,,,,,,,,,
61,TSMB,TSMB,,,,,,,,,,,,
62,Tixie Bay,TXBY,Russia,Tixie Bay,1/1/1966,71.36,128.54,0,0.48,18,NM64,,,
63,UFSZ,UFSZ,,,,,,,,,,,,
64,Yakutsk,YKTK,Russia,Yakutsk,1/1/2010,62.01,129.43,105,1.65,18,NM64,,,
65,ZUGS,ZUGS,Germany,Zugspitze,1/1/2004,47.4,11,2650,4.10,16,3-He counter,,,
