"TOA5","Shawn","CR800","35658","CR800.Std.28","CPU:Shawn.CR8","8810","run2"
"TIMESTAMP","RECORD","BattV_Min","BattV","AirTC_2","RH_2","Latitude_A","Latitude_B","Longitude_A","Longitude_B","Speed","MagVar","Altitude","Course","FixQual","NumSats","PPS","SecSinceGPRMC","GPSReady","MaxClockChange","NumClockChange","SlrkW","SlrMJ_Tot","PTemp_C","NMEASent(1)","NMEASent(2)"
"TS","RN","Volts","Volts","Deg C","%","degrees","minutes","degrees","minutes","knots","degrees","meters","degrees","code","count","microseconds","seconds","count","milliseconds","count","kW/m^2","MJ/m^2","Deg C","",""
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp"
"2015-07-24 08:07:10",0,12.98,12.98,26.31614,70.89552,19,43.7476,-155,-5.4243,0,9.7,49.7,211.2,2,11,"NAN",0.49,0,0,0,0.1174218,0.000587109,26.93,"$GPRMC,180636,A,1943.7476,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180636,1943.7476,N,15505.4243,W,2,11,0.8,49.7,M,2.3,M,,"
"2015-07-24 08:07:15",1,12.98,12.98,26.31614,70.89552,19,43.7476,-155,-5.4243,0,9.7,49.7,211.2,2,11,"NAN",0.48,0,0,0,0.1170844,0.0005854219,26.93,"$GPRMC,180641,A,1943.7476,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180641,1943.7476,N,15505.4243,W,2,11,0.8,49.7,M,2.3,M,,"
"2015-07-24 08:07:20",2,12.98,12.98,26.31614,70.62414,19,43.7477,-155,-5.4243,0,9.7,49.7,211.2,2,11,"NAN",0.49,0,0,0,0.1170844,0.0005854219,26.93,"$GPRMC,180646,A,1943.7477,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180646,1943.7477,N,15505.4243,W,2,11,0.8,49.7,M,2.3,M,,"
"2015-07-24 08:07:25",3,12.98,12.98,26.35006,70.31885,19,43.7477,-155,-5.4243,0,9.7,49.7,211.2,2,11,"NAN",0.48,0,0,0,0.116747,0.0005837348,26.93,"$GPRMC,180651,A,1943.7477,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180651,1943.7477,N,15505.4243,W,2,11,0.8,49.7,M,2.3,M,,"
"2015-07-24 08:07:30",4,12.98,12.98,26.31614,70.18317,19,43.7477,-155,-5.4243,0,9.7,49.7,211.2,2,11,"NAN",0.47,0,0,0,0.116747,0.0005837348,26.93,"$GPRMC,180656,A,1943.7477,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180656,1943.7477,N,15505.4243,W,2,11,0.8,49.7,M,2.3,M,,"
"2015-07-24 08:07:35",5,12.98,12.98,26.28222,69.77611,19,43.7477,-155,-5.4243,0,9.7,49.6,211.2,2,11,"NAN",0.49,0,0,0,0.116747,0.0005837348,26.93,"$GPRMC,180701,A,1943.7477,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180701,1943.7477,N,15505.4243,W,2,11,0.8,49.6,M,2.3,M,,"
"2015-07-24 08:07:40",6,12.98,12.98,26.35006,69.33513,19,43.7477,-155,-5.4243,0,9.7,49.6,211.2,2,11,"NAN",0.5,0,0,0,0.116747,0.0005837348,26.93,"$GPRMC,180706,A,1943.7477,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180706,1943.7477,N,15505.4243,W,2,11,0.8,49.6,M,2.3,M,,"
"2015-07-24 08:07:45",7,12.98,12.98,26.28222,69.23337,19,43.7477,-155,-5.4243,0,9.7,49.6,211.2,2,11,"NAN",0.5,0,0,0,0.1164095,0.0005820477,26.93,"$GPRMC,180711,A,1943.7477,N,15505.4243,W,000.0,211.2,240715,009.7,E","$GPGGA,180711,1943.7477,N,15505.4243,W,2,11,0.8,49.6,M,2.3,M,,"
