"TOA5","CR800Series","CR800","35658","CR800.Std.28","CPU:Ultralytics1.CR8","18129","Five_Sec"
"TIMESTAMP","RECORD","BattV","PTemp_C","SlrW","AirTC","RH","NMEASent(1)","NMEASent(2)","Latitude_A","Latitude_B","Longitude_A","Longitude_B","Speed","Course","MagVar","FixQual","NumSats","Altitude","PPS","SecSinceGPRMC","GPSReady","MaxClockChange","NumClockChange","BP_kPa","VWC","EC","T","P","PA","VR"
"TS","RN","Volts","Deg C","W/m^2","Deg C","%","","","degrees","minutes","degrees","minutes","knots","degrees","degrees","code","count","meters","microseconds","seconds","count","milliseconds","count","kPa","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-09-14 14:24:35",0,12.91,14.3,114.4,21.32,38.48,"$GPRMC,192431,A,6448.7553,N,14745.6645,W,000.0,178.2,140915,019.4,E","$GPGGA,192431,6448.7553,N,14745.6645,W,1,09,0.9,120.1,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.1,"NAN",0.09,0,0,0,98.1,0,0.001,14.08,1,1.075,1
"2015-09-14 14:24:40",1,12.91,14.3,114.4,21.28,38.48,"$GPRMC,192436,A,6448.7553,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192436,6448.7553,N,14745.6644,W,1,09,0.9,120.1,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.1,"NAN",0.09,0,0,0,98.1,0,0.001,14.1,1,1.075,1
"2015-09-14 14:24:45",2,12.91,14.32,114.4,21.32,38.41,"$GPRMC,192441,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192441,6448.7554,N,14745.6644,W,1,09,0.9,120.1,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.1,"NAN",0.09,0,0,0,98.1,0,0.001,14.13,1,1.075,1
"2015-09-14 14:24:50",3,12.92,14.32,114.4,21.32,38.41,"$GPRMC,192446,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192446,6448.7554,N,14745.6644,W,1,09,0.9,120.2,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.2,"NAN",0.09,0,0,0,98.2,0,0.001,14.17,1,1.075,1
"2015-09-14 14:24:55",4,12.92,14.32,114.4,21.35,38.28,"$GPRMC,192451,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192451,6448.7554,N,14745.6644,W,1,09,0.9,120.2,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.2,"NAN",0.09,0,0,0,98.1,0,0,14.18,1,1.075,1
"2015-09-14 14:25:00",5,12.92,14.32,114.4,21.32,38.21,"$GPRMC,192456,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192456,6448.7554,N,14745.6644,W,1,09,0.9,120.2,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.2,"NAN",0.09,0,0,0,98.1,0,0.001,14.19,1,1.075,1
"2015-09-14 14:25:05",6,12.91,14.32,114.4,21.28,38.21,"$GPRMC,192501,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192501,6448.7554,N,14745.6644,W,1,09,0.9,120.2,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.2,"NAN",0.09,0,0,0,98.1,0,0.001,14.23,1,1.075,1
"2015-09-14 14:25:10",7,12.92,14.32,114.8,21.28,38.31,"$GPRMC,192506,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192506,6448.7554,N,14745.6644,W,1,09,0.9,120.2,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.2,"NAN",0.07,0,0,0,98.1,0,0.001,14.27,1,1.075,1
"2015-09-14 14:25:15",8,12.91,14.35,114.8,21.32,38.28,"$GPRMC,192511,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192511,6448.7554,N,14745.6644,W,1,09,0.9,120.2,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.2,"NAN",0.09,0,0,0,98.1,0,0,14.29,1,1.075,1
"2015-09-14 14:25:20",9,12.92,14.35,114.8,21.35,38.24,"$GPRMC,192516,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192516,6448.7554,N,14745.6644,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.09,0,0,0,98.1,0,0.001,14.32,1,1.075,1
"2015-09-14 14:25:25",10,12.92,14.35,115.1,21.32,38.21,"$GPRMC,192521,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192521,6448.7554,N,14745.6643,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.07,0,0,0,98.1,0,0.001,14.35,1,1.075,1
"2015-09-14 14:25:30",11,12.91,14.35,115.1,21.35,38.14,"$GPRMC,192526,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192526,6448.7554,N,14745.6643,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.05,0,0,0,98.1,0,0.001,14.35,1,1.075,1
"2015-09-14 14:25:35",12,12.91,14.35,115.1,21.32,38.21,"$GPRMC,192531,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192531,6448.7554,N,14745.6644,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.08,0,0,0,98.1,0,0.001,14.39,1,1.075,1
"2015-09-14 14:25:40",13,12.91,14.35,115.5,21.32,38.24,"$GPRMC,192536,A,6448.7554,N,14745.6644,W,000.0,178.2,140915,019.4,E","$GPGGA,192536,6448.7554,N,14745.6644,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.07,0,0,0,98.1,0,0.001,14.39,1,1.075,1
"2015-09-14 14:25:45",14,12.91,14.35,115.5,21.32,38.28,"$GPRMC,192541,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192541,6448.7554,N,14745.6643,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.07,0,0,0,98.1,0,0.001,14.42,1,1.075,1
"2015-09-14 14:25:50",15,12.91,14.35,115.8,21.28,38.38,"$GPRMC,192546,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192546,6448.7554,N,14745.6643,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.08,0,0,0,98.1,0,0.001,14.44,1,1.075,1
"2015-09-14 14:25:55",16,12.91,14.35,115.8,21.35,38.31,"$GPRMC,192551,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192551,6448.7554,N,14745.6643,W,1,09,0.9,120.3,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.3,"NAN",0.08,0,0,0,98.1,0,0.001,14.45,1,1.075,1
"2015-09-14 14:26:00",17,12.91,14.35,116.1,21.28,38.31,"$GPRMC,192556,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192556,6448.7554,N,14745.6643,W,1,09,0.9,120.4,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.4,"NAN",0.08,0,0,0,98.1,0,0.001,14.5,1,1.075,1
"2015-09-14 14:26:05",18,12.91,14.35,116.5,21.32,38.34,"$GPRMC,192601,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192601,6448.7554,N,14745.6643,W,1,09,0.9,120.4,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.4,"NAN",0.09,0,0,0,98.1,0,0.001,14.49,1,1.075,1
"2015-09-14 14:26:10",19,12.91,14.35,116.5,21.28,38.41,"$GPRMC,192606,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192606,6448.7554,N,14745.6643,W,1,09,0.9,120.4,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.4,"NAN",0.08,0,0,0,98.1,0,0,14.52,1,1.075,1
"2015-09-14 14:26:15",20,12.91,14.35,116.8,21.21,38.68,"$GPRMC,192611,A,6448.7554,N,14745.6643,W,000.0,178.2,140915,019.4,E","$GPGGA,192611,6448.7554,N,14745.6643,W,1,09,0.9,120.4,M,8.0,M,,",64,48.76,-147,-45.66,0,178.2,19.4,1,9,120.4,"NAN",0.08,0,0,0,98.1,0,0.001,14.51,1,1.075,1
