"TOA5","CR800Series","CR800","35658","CR800.Std.28","CPU:Ultralytics1.CR8","18129","Five_Sec"
"TIMESTAMP","RECORD","BattV","PTemp_C","SlrW","AirTC","RH","NMEASent(1)","NMEASent(2)","Latitude_A","Latitude_B","Longitude_A","Longitude_B","Speed","Course","MagVar","FixQual","NumSats","Altitude","PPS","SecSinceGPRMC","GPSReady","MaxClockChange","NumClockChange","BP_kPa","VWC","EC","T","P","PA","VR"
"TS","RN","Volts","Deg C","W/m^2","Deg C","%","","","degrees","minutes","degrees","minutes","knots","degrees","degrees","code","count","meters","microseconds","seconds","count","milliseconds","count","kPa","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-09-17 12:31:45",0,13.2,19.39,35.1,10.88,45.52,"$GPRMC,173141,A,7012.6972,N,14826.2235,W,000.0,000.0,170915,020.6,E","$GPGGA,173141,7012.6972,N,14826.2235,W,2,09,0.9,23.5,M,-1.2,M,,",70,12.7,-148,-26.22,0,0,20.6,2,9,23.6,"NAN",0.85,0,0,0,100.7,0,0.001,12.55,1.342,1.101,1
"2015-09-17 12:31:50",1,13.2,19.36,35.44,10.88,45.46,"$GPRMC,173146,A,7012.6972,N,14826.2243,W,000.0,000.0,170915,020.6,E","$GPGGA,173146,7012.6972,N,14826.2243,W,2,09,0.9,23.6,M,-1.2,M,,",70,12.7,-148,-26.22,0,0,20.6,2,9,23.5,"NAN",0.88,0,0,0,100.7,0,0.001,12.54,1.342,1.101,1
"2015-09-17 12:31:55",2,13.19,19.34,36.11,10.92,45.12,"$GPRMC,173151,A,7012.6973,N,14826.2253,W,000.0,000.0,170915,020.6,E","$GPGGA,173151,7012.6973,N,14826.2253,W,2,09,0.9,23.3,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,23.4,"NAN",0.84,0,0,0,100.7,0,0,12.58,1.346,1.101,1
"2015-09-17 12:32:00",3,13.19,19.34,36.45,10.92,44.98,"$GPRMC,173156,A,7012.6972,N,14826.2263,W,000.0,000.0,170915,020.6,E","$GPGGA,173156,7012.6972,N,14826.2263,W,2,09,0.9,23.0,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,23,"NAN",0.83,0,0,0,100.7,0,0.001,12.57,1.322,1.1,1
"2015-09-17 12:32:05",4,13.19,19.31,36.79,10.98,44.71,"$GPRMC,173201,A,7012.6969,N,14826.2273,W,000.0,000.0,170915,020.6,E","$GPGGA,173201,7012.6969,N,14826.2273,W,2,09,0.9,22.9,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,23,"NAN",0.83,0,0,0,100.7,0,0.001,12.58,1.341,1.101,1
"2015-09-17 12:32:10",5,13.19,19.28,37.12,10.98,44.51,"$GPRMC,173206,A,7012.6966,N,14826.2280,W,000.0,000.0,170915,020.6,E","$GPGGA,173206,7012.6966,N,14826.2280,W,2,10,0.8,22.6,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,22.6,"NAN",0.82,0,0,0,100.7,0,0.001,12.6,1.322,1.1,1
"2015-09-17 12:32:15",6,13.19,19.26,37.46,10.98,44.37,"$GPRMC,173211,A,7012.6963,N,14826.2283,W,000.0,000.0,170915,020.6,E","$GPGGA,173211,7012.6963,N,14826.2283,W,2,10,0.8,22.5,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,22.5,"NAN",0.83,0,0,0,100.7,0,0,12.6,1.327,1.1,1
"2015-09-17 12:32:20",7,13.19,19.23,37.8,11.02,44.13,"$GPRMC,173216,A,7012.6960,N,14826.2287,W,000.0,000.0,170915,020.6,E","$GPGGA,173216,7012.6960,N,14826.2287,W,2,10,0.8,22.3,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,22.4,"NAN",0.82,0,0,0,100.7,0,0.001,12.62,1.326,1.1,1
"2015-09-17 12:32:25",8,13.19,19.23,38.14,11.02,44.03,"$GPRMC,173221,A,7012.6955,N,14826.2284,W,000.0,000.0,170915,020.6,E","$GPGGA,173221,7012.6955,N,14826.2284,W,2,10,0.8,21.9,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,22,"NAN",0.82,0,0,0,100.7,0,0.001,12.63,1.324,1.1,1
"2015-09-17 12:32:30",9,13.18,19.21,38.47,11.02,43.96,"$GPRMC,173226,A,7012.6951,N,14826.2279,W,000.0,000.0,170915,020.6,E","$GPGGA,173226,7012.6951,N,14826.2279,W,2,10,0.8,21.3,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,21.4,"NAN",0.82,0,0,0,100.7,0,0,12.6,1.308,1.099,1
"2015-09-17 12:32:35",10,13.18,19.18,38.47,11.02,43.89,"$GPRMC,173231,A,7012.6950,N,14826.2277,W,000.0,000.0,170915,020.6,E","$GPGGA,173231,7012.6950,N,14826.2277,W,2,10,0.8,21.1,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,21.1,"NAN",0.83,0,0,0,100.7,0,0.001,12.63,1.307,1.099,1
"2015-09-17 12:32:40",11,13.18,19.15,38.47,11.09,43.83,"$GPRMC,173236,A,7012.6950,N,14826.2277,W,000.0,000.0,170915,020.6,E","$GPGGA,173236,7012.6950,N,14826.2277,W,2,10,0.8,21.1,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,21.1,"NAN",0.82,0,0,0,100.7,0,0.001,12.64,1.304,1.099,1
"2015-09-17 12:32:45",12,13.18,19.13,38.47,11.09,43.73,"$GPRMC,173241,A,7012.6950,N,14826.2277,W,000.0,000.0,170915,020.6,E","$GPGGA,173241,7012.6950,N,14826.2277,W,2,10,0.8,21.1,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,21.1,"NAN",0.84,0,0,0,100.7,0,0,12.66,1.328,1.1,1
"2015-09-17 12:32:50",13,13.17,19.13,38.47,11.15,43.52,"$GPRMC,173246,A,7012.6950,N,14826.2276,W,000.0,000.0,170915,020.6,E","$GPGGA,173246,7012.6950,N,14826.2276,W,2,10,0.8,21.1,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,10,21.1,"NAN",0.85,0,0,0,100.7,0,0,12.67,1.308,1.099,1
"2015-09-17 12:32:55",14,13.17,19.1,38.47,11.15,43.42,"$GPRMC,173251,A,7012.6951,N,14826.2276,W,000.0,000.0,170915,020.6,E","$GPGGA,173251,7012.6951,N,14826.2276,W,2,09,0.9,21.1,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,21.1,"NAN",0.84,0,0,0,100.8,0,0.001,12.69,1.306,1.099,1
"2015-09-17 12:33:00",15,13.17,19.08,38.14,11.15,43.35,"$GPRMC,173256,A,7012.6951,N,14826.2276,W,000.0,000.0,170915,020.6,E","$GPGGA,173256,7012.6951,N,14826.2276,W,2,09,0.9,21.1,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,21.1,"NAN",0.85,0,0,0,100.7,0,0.001,12.68,1.301,1.099,1.001
"2015-09-17 12:33:05",16,13.16,19.05,38.14,11.19,43.25,"$GPRMC,173301,A,7012.6951,N,14826.2276,W,000.0,000.0,170915,020.6,E","$GPGGA,173301,7012.6951,N,14826.2276,W,2,09,0.9,21.1,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,21.1,"NAN",0.85,0,0,0,100.7,0,0.001,12.72,1.285,1.098,1
"2015-09-17 12:33:10",17,13.16,19.02,38.14,11.22,43.11,"$GPRMC,173306,A,7012.6955,N,14826.2264,W,000.0,000.0,170915,020.6,E","$GPGGA,173306,7012.6955,N,14826.2264,W,2,09,0.9,21.0,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,21,"NAN",0.85,0,0,0,100.7,0,0,12.74,1.29,1.098,1
"2015-09-17 12:33:15",18,13.16,19.02,38.47,11.22,42.94,"$GPRMC,173311,A,7012.6963,N,14826.2246,W,000.0,000.0,170915,020.6,E","$GPGGA,173311,7012.6963,N,14826.2246,W,2,09,0.9,21.5,M,-1.2,M,,",70,12.7,-148,-26.23,0,0,20.6,2,9,21.4,"NAN",0.84,0,0,0,100.7,0,0.001,12.73,1.304,1.099,1
"2015-09-17 12:33:20",19,13.16,19,38.47,11.22,42.74,"$GPRMC,173316,A,7012.6970,N,14826.2230,W,000.0,000.0,170915,020.6,E","$GPGGA,173316,7012.6970,N,14826.2230,W,2,09,0.9,21.9,M,-1.2,M,,",70,12.7,-148,-26.22,0,0,20.6,2,9,21.8,"NAN",0.86,0,0,0,100.7,0,0.001,12.75,1.307,1.099,1
"2015-09-17 12:33:25",20,13.16,18.97,38.81,11.26,42.61,"$GPRMC,173321,A,7012.6975,N,14826.2215,W,000.0,000.0,170915,020.6,E","$GPGGA,173321,7012.6975,N,14826.2215,W,2,09,0.9,22.4,M,-1.2,M,,",70,12.7,-148,-26.22,0,0,20.6,2,9,22.3,"NAN",0.84,0,0,0,100.7,0,0.001,12.77,1.288,1.098,1
